,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1810,-15.34%,23,-45.53%,160,0.00%,0,20.96%,43,-19.18%,17,8.88%,47
1817,18.46%,29,406.01%,114,-2.18%,5,37.11%,50,-18.92%,15,-8.43%,51
1902,78.14%,17,205.67%,189,0.00%,0,83.29%,48,4.84%,17,108.58%,41
1903,55.51%,19,-88.12%,65,0.00%,0,32.45%,53,20.98%,15,67.46%,52
1904,86.83%,25,-113.38%,189,-184.77%,30,120.98%,46,18.64%,13,61.56%,40
1905,-61.47%,30,-80.44%,139,-50.36%,5,62.69%,47,-12.22%,15,32.97%,46
1906,31.08%,23,-77.89%,128,0.00%,2,95.14%,46,-33.84%,16,-4.04%,45
1907,46.96%,20,-184.24%,226,-43.83%,3,93.32%,46,9.72%,18,55.40%,40
1909,5.96%,21,-197.08%,136,1615.37%,103,143.62%,50,8.37%,16,-16.58%,38
2002,10.07%,17,-369.87%,249,-860.31%,115,7.47%,51,-9.25%,16,3.97%,45
2006,21.82%,19,-94.74%,159,-16.88%,33,63.00%,47,-0.45%,13,0.26%,40
2007,156.71%,45,-39.69%,38,0.00%,0,98.39%,45,-40.96%,17,19.16%,37
2008,17.08%,20,38.39%,49,0.00%,0,29.79%,58,-1.00%,20,45.59%,47
2009,81.15%,23,306.30%,136,0.00%,1,136.83%,49,2.31%,17,16.91%,38
2010,-13.62%,33,101.39%,79,0.44%,1,16.61%,52,-15.44%,18,-8.48%,40
2012,-24.52%,36,8.64%,36,0.00%,0,27.97%,49,5.59%,13,19.49%,41
2013,83.25%,25,-4.35%,183,-3.91%,1,161.35%,43,92.25%,15,21.67%,45
2014,22.40%,23,556.29%,210,-51.44%,26,45.72%,43,-15.96%,15,49.90%,44
2015,6.16%,17,142.77%,97,-102.70%,30,58.36%,54,16.19%,15,-5.81%,43
2017,-76.83%,24,261.34%,90,0.00%,0,-30.84%,51,-44.14%,14,56.67%,49
2020,63.30%,21,177.63%,121,0.00%,1,64.25%,49,-14.36%,19,42.86%,40
2022,2.93%,24,432.89%,139,0.00%,0,72.73%,44,-30.95%,15,63.12%,40
2023,-27.34%,33,-18.72%,173,-64.93%,9,20.48%,46,5.31%,17,50.84%,52
2024,78.96%,18,-127.10%,59,0.00%,0,64.01%,44,37.64%,20,43.77%,42
2025,-177.21%,26,0.00%,0,0.00%,0,60.90%,38,27.16%,14,105.22%,41
2027,58.82%,17,-134.82%,188,418.34%,59,126.38%,50,46.44%,17,76.76%,46
2028,84.91%,22,-41.20%,76,0.00%,0,106.27%,45,-21.76%,15,84.56%,46
2029,-218.68%,28,99.13%,67,44.92%,4,1.91%,46,-27.98%,17,-14.34%,41
2030,16.69%,28,1211.41%,133,-3.17%,1,58.37%,53,26.25%,17,14.46%,37
2031,126.64%,22,467.34%,185,72.23%,17,80.44%,51,59.18%,15,44.20%,54
2032,102.13%,38,-100.76%,46,0.00%,0,8.58%,44,9.34%,18,32.58%,49
2033,70.69%,21,123.75%,46,0.00%,0,85.46%,48,60.58%,19,9.36%,43
2034,-40.21%,27,-301.36%,141,-0.93%,7,22.67%,46,31.13%,17,38.90%,45
2038,-63.48%,30,-676.73%,111,0.00%,0,117.86%,47,-20.29%,16,-9.77%,40
2049,81.27%,20,846.55%,202,975.66%,170,108.51%,53,61.68%,12,49.09%,45
2059,11.05%,33,75.31%,99,-48.64%,32,81.01%,49,-24.10%,16,39.90%,48
2062,-47.80%,31,-512.89%,172,-3.84%,1,5.14%,41,-37.59%,18,27.86%,49
2069,-12.22%,26,-373.20%,143,0.00%,0,35.36%,52,-4.22%,17,0.53%,47
2101,111.38%,37,-178.29%,247,0.00%,5,51.01%,47,5.89%,14,12.62%,40
2102,131.30%,19,-289.88%,213,0.00%,0,85.64%,43,27.32%,21,33.91%,42
2103,-46.18%,25,-1259.91%,185,-16.63%,2,27.43%,53,-55.81%,19,20.89%,51
2104,-16.30%,25,-496.17%,159,-35.58%,62,92.92%,43,-0.79%,16,2.77%,41
2105,1.83%,31,-590.76%,213,-387.30%,63,18.11%,48,-23.74%,16,16.39%,48
2106,-3.18%,31,-315.39%,161,-45.96%,11,2.88%,45,-19.49%,17,-3.41%,45
2107,58.46%,26,-11.17%,63,0.00%,0,52.62%,44,28.25%,16,10.03%,33
2108,165.99%,16,249.55%,211,-27.60%,9,95.31%,53,13.61%,19,23.58%,40
2109,63.83%,28,215.80%,83,0.00%,0,67.44%,46,-4.37%,13,58.52%,40
2114,8.71%,19,60.00%,69,0.00%,0,25.57%,50,-2.28%,15,14.71%,50
2115,-174.56%,42,-77.24%,54,-5.59%,1,15.83%,49,-43.97%,15,-3.14%,45
2201,15.65%,35,52.40%,150,-106.80%,38,97.61%,43,40.29%,18,27.93%,40
2204,172.68%,28,359.50%,96,815.81%,51,96.86%,45,-20.98%,16,44.41%,49
2206,-8.26%,20,-599.02%,264,-7.47%,3,20.79%,54,4.21%,19,74.79%,47
2207,-60.61%,30,3.61%,194,925.81%,38,142.51%,50,-58.09%,10,13.83%,36
2208,310.70%,24,220.23%,152,0.00%,0,368.42%,44,155.57%,20,92.04%,42
2227,40.56%,17,-139.36%,173,-365.67%,40,73.04%,53,-21.94%,13,17.69%,44
2228,-4.15%,24,1216.70%,169,38.88%,17,66.59%,51,-48.73%,16,-15.89%,37
2231,-18.79%,26,-73.42%,94,-234.16%,119,136.44%,47,-27.82%,14,9.02%,48
2233,69.76%,7,-174.26%,30,0.00%,3,3.44%,9,-15.24%,2,-19.64%,8
2236,-112.83%,33,-46.16%,71,39.94%,9,37.72%,43,-77.52%,16,-35.35%,44
2239,-388.65%,34,-300.49%,144,-466.73%,43,85.50%,41,-48.71%,17,-25.70%,39
2243,-194.86%,25,-126.44%,13,0.00%,0,-104.32%,40,-98.85%,13,14.93%,33
2301,104.62%,23,-36.92%,197,-206.35%,104,84.66%,48,18.99%,18,25.18%,50
2302,307.93%,27,111.87%,30,0.00%,0,136.19%,47,24.86%,15,21.93%,46
2303,44.66%,19,296.12%,191,-108.17%,96,66.78%,50,8.54%,17,53.22%,42
2305,154.41%,29,-237.48%,80,0.00%,0,111.73%,50,-12.92%,14,-17.53%,44
2308,26.34%,26,-275.49%,180,410.29%,147,34.38%,46,-44.75%,15,-12.88%,39
2312,83.12%,26,-16.73%,217,-7.49%,2,62.95%,46,-0.95%,15,11.01%,45
2313,148.54%,30,561.46%,177,521.46%,138,208.21%,53,-10.89%,11,68.50%,37
2314,126.10%,21,585.83%,128,20.27%,14,99.60%,50,-3.28%,14,47.67%,46
2316,-4.48%,25,312.97%,138,102.62%,2,193.00%,42,42.11%,15,44.13%,35
2317,-43.53%,20,798.24%,180,381.33%,152,53.62%,40,0.22%,17,11.13%,46
2321,377.73%,42,-91.69%,4,0.00%,0,107.06%,53,79.19%,16,29.30%,45
2323,107.37%,31,197.71%,127,87.72%,11,176.40%,50,29.92%,14,109.56%,43
2324,51.04%,24,-370.77%,187,105.56%,86,51.83%,53,6.25%,17,5.26%,50
2327,59.97%,20,702.28%,72,2195.63%,199,257.59%,50,108.93%,15,48.99%,34
2328,91.52%,23,128.09%,176,-109.84%,6,68.16%,49,6.11%,15,36.53%,49
2329,59.86%,27,227.48%,142,-35.92%,7,155.95%,48,52.70%,16,98.95%,42
2330,63.68%,19,260.40%,186,486.35%,138,96.95%,53,20.32%,17,52.38%,45
2331,133.75%,30,-273.97%,171,0.00%,0,101.27%,46,-12.77%,15,-21.13%,41
2332,93.66%,21,352.72%,161,0.00%,0,133.94%,46,23.33%,15,46.54%,44
2337,136.46%,22,6421.43%,186,2865.88%,125,357.03%,53,193.09%,15,73.12%,43
2338,227.54%,25,61.45%,107,-43.50%,6,214.72%,44,97.29%,14,50.93%,39
2340,41.04%,19,156.72%,165,-72.77%,15,185.92%,46,44.12%,18,24.77%,40
2342,-30.94%,20,229.31%,100,0.00%,0,639.25%,41,142.24%,16,304.24%,46
2344,37.68%,25,123.84%,148,562.04%,95,184.75%,44,48.60%,17,17.74%,39
2345,120.56%,16,2171.92%,203,560.02%,176,185.39%,54,100.52%,16,130.96%,45
